Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01352","Kiwi fruit","2020","2020","ha","1590","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01352","Kiwi fruit","2021","2021","ha","1640","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2017","2017","ha","3089","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2018","2018","ha","2850","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2019","2019","ha","2860","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2020","2020","ha","2890","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2021","2021","ha","3110","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01322","Lemons and limes","2017","2017","ha","43087","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01322","Lemons and limes","2018","2018","ha","46010","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01322","Lemons and limes","2019","2019","ha","46840","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01322","Lemons and limes","2020","2020","ha","48350","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01322","Lemons and limes","2021","2021","ha","50810","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01704","Lentils, dry","2017","2017","ha","36504","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01214","Lettuce and chicory","2017","2017","ha","34508","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01214","Lettuce and chicory","2018","2018","ha","33870","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01214","Lettuce and chicory","2019","2019","ha","35360","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01214","Lettuce and chicory","2020","2020","ha","34300","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01214","Lettuce and chicory","2021","2021","ha","34280","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01441","Linseed","2017","2017","ha","13","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01441","Linseed","2018","2018","ha","0","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01441","Linseed","2019","2019","ha","20","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01441","Linseed","2020","2020","ha","50","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01441","Linseed","2021","2021","ha","340","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01356","Locust beans (carobs)","2017","2017","ha","2368","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.02","Lupins","2017","2017","ha","3614","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.02","Lupins","2018","2018","ha","2980","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.02","Lupins","2019","2019","ha","2450","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.02","Lupins","2020","2020","ha","2390","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.02","Lupins","2021","2021","ha","2760","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","333628","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","322370","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","356830","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","343780","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","358270","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0118","Millet","2017","2017","ha","668","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01199.02","Mixed grain","2017","2017","ha","4245","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01199.02","Mixed grain","2018","2018","ha","48610","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01199.02","Mixed grain","2019","2019","ha","43930","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01199.02","Mixed grain","2020","2020","ha","44260","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01199.02","Mixed grain","2021","2021","ha","45610","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0117","Oats","2017","2017","ha","558767","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0117","Oats","2018","2018","ha","556500","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0117","Oats","2019","2019","ha","453430","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0117","Oats","2020","2020","ha","506170","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0117","Oats","2021","2021","ha","504000","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01450","Olives","2017","2017","ha","2554829","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01450","Olives","2018","2018","ha","2579000","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01450","Olives","2019","2019","ha","2601900","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01450","Olives","2020","2020","ha","2623720","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01450","Olives","2021","2021","ha","2623290","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","ha","24762","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2018","2018","ha","24390","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","ha","26520","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","25330","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","ha","26780","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01253.01","Onions and shallots, green","2017","2017","ha","698","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01323","Oranges","2017","2017","ha","140505","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01323","Oranges","2018","2018","ha","139630","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01323","Oranges","2019","2019","ha","140310","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01323","Oranges","2020","2020","ha","141130","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01323","Oranges","2021","2021","ha","143170","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01241.90","Other beans, green","2017","2017","ha","8509","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01241.90","Other beans, green","2018","2018","ha","7890","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01241.90","Other beans, green","2019","2019","ha","7540","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01241.90","Other beans, green","2020","2020","ha","7570","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01241.90","Other beans, green","2021","2021","ha","7980","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2017","2017","ha","1454","I","Imputed value"
